word,number_of_occurences
zem,2
pripomínať,2
mimovoľne,2
túžiť,2
keďže,2
zlé,2
tridsať,2
podariť,2
upraviť,2
rodič,2
zháčiť,2
trápiť,2
bežný,2
ach,2
rozum,2
sústredený,2
vojsť,2
dna,2
očko,2
žiariť,2
typický,2
podvedome,2
pracovať,2
maľovať,2
spať,2
sťa,2
odniesť,2
teda,2
nestať,2
baliť,2
cestovný,2
trpieť,2
zaspať,2
zažiť,2
vchodový,2
prekvapenie,2
pribehnúť,2
prehltnúť,2
plece,2
sprcha,2
plný,2
váza,2
záchrana,2
chudučký,2
nahý,2
nesedieť,2
hanba,2
tentoraz,2
najmä,2
rozísť,2
nepotrebovať,2
opak,2
svedomie,2
zazrieť,2
krásny,2
zlato,2
prst,2
schopný,2
lina,2
vložiť,2
otázka,2
obyčajný,2
udalosť,2
zážitok,2
ponáhľať,2
dievčatko,2
chlapcov,2
iskrička,1
my,1
roztrhať,1
lanina,1
tesne,1
brada,1
povzdych,1
zablúdená,1
napoly,1
príťaž,1
obmedzovať,1
než,1
okovy,1
lenivo,1
obločnica,1
nenažrať,1
chladne,1
pohodiť,1
kruto,1
ľahostajnosť,1
tvrdé,1
odcudzene,1
ohrozenie,1
povesť,1
unudene,1
zapáliť,1
studený,1
zaliať,1
slnko,1
obzor,1
budiť,1
ochkanie,1
divný,1
bojovo,1
znejúce,1
hučanie,1
znášať,1
nepamäť,1
ba,1
zovšednieť,1
dokresľovať,1
vnášať,1
dvojizbový,1
domec,1
trúchlenie,1
generačný,1
prekliatie,1
pustota,1
bytie,1
kopec,1
pravidelne,1
traktor,1
nákladný,1
auto,1
víriť,1
lesný,1
prach,1
zanášať,1
okenica,1
plánka,1
prázdny,1
psí,1
búda,1
zviera,1
smrť,1
laninej,1
ichnenávidela,1
špina,1
choroba,1
nasilu,1
vyhnať,1
nemá,1
súkromie,1
mladý,1
partnerka,1
súhlasiť,1
skončiť,1
základný,1
otupno,1
pochmúrne,1
matkin,1
vyberať,1
daň,1
temno,1
iskra,1
vyžadujúca,1
pozorovateľ,1
zamyslenie,1
prílišný,1
podnet,1
rozveselenie,1
nápad,1
rozkvitnúť,1
chtivý,1
nerozvitého,1
dychtivý,1
pookriatie,1
veľké;,1
problém,1
celkový,1
nespokojnosť,1
udržiavať,1
pozor,1
oddych,1
obracať,1
istý,1
nájsť,1
tieň,1
doliehať,1
vysávať,1
tepna,1
br,1
striasť,1
presladená,1
trpko,1
mľasknúť,1
parapet,1
zajtra,1
vstávať,1
štvrtý,1
piaty,1
nasadlana,1
zaviezť,1
pešky,1
tristo,1
euro,1
mesačne,1
nesťažovať,1
zadarmo,1
neďaleko,1
trate;,1
upokojujúci,1
prechádzka,1
rozsiahly,1
slnečnica,1
včela,1
bzučať,1
stroj,1
orchester,1
rozozvučať,1
dolina,1
naponáhlo,1
neobsedieť,1
pofukovať,1
vetrík,1
postrapatiť,1
siahajúce,1
pochabosť,1
vkročiť,1
potok,1
trať,1
čľapotať,1
vystrekovať,1
máčať,1
uliate,1
vyšírený,1
spodok,1
prilepiť,1
svedčať,1
vytrhnúť,1
bezprostredný,1
spontánny,1
hra,1
vyvaliť,1
príchodzieho,1
riečka,1
siahajúcou,1
nevrlo,1
premeriavať,1
nedôverčivo,1
plavý,1
statný,1
maťtak,1
tridsiatka,1
milo,1
neokukaný,1
predovšetkým,1
nepôsobiť,1
drzo,1
odtiaľto,1
smelo,1
prekonať,1
počiatočný,1
breh,1
žmýkať,1
zvoňáky,1
cíp,1
tiecť,1
hej,1
niekoľkokrát,1
potulovať,1
potešiť,1
chystajúcej,1
kontrolka,1
blikať,1
prismelo,1
vtieravo,1
pozvať,1
súhlas,1
hanblivo,1
skloniť,1
pozícia,1
bezmocný,1
nadýchnuť,1
prezrádzajúcim,1
vidina,1
odraziť,1
priamy,1
filozofia,1
východný,1
náboženstvo,1
ponúknuť,1
pravica,1
slušnosť,1
srdečne,1
ozajstný,1
spôsob,1
uhladený,1
afektovaný,1
machrovať,1
podráždenie,1
trápnosť,1
chvost,1
vykračovať,1
pevný,1
krok,1
zakoktať,1
oneskorene,1
provokovať,1
nakláňať,1
približovať,1
naznačovať,1
stavaná,1
nudiť,1
rozčuľovať,1
rozmyslieť,1
jaj,1
prepáčiť,1
vytratiť,1
prívetivosť,1
sklamaný,1
badať,1
opuchnutosť,1
tučnota,1
odchádzať,1
vrtkavo,1
prieberčivý,1
geroj,1
ponášajúci,1
ivanušku,1
rozprávka,1
neurobiť,1
všetkýmimužmi,1
horúčka,1
snažiť,1
predstierať,1
zrýchliť,1
ohyb,1
križovatka,1
labzovať,1
nevábne,1
voňajúcu,1
polievka,1
zazerať,1
sporák,1
nereagovať,1
pevne,1
víkend,1
prežiť,1
ticho,1
budík,1
tma,1
prehodiť,1
rozpustený,1
zívať,1
spávať,1
úzky,1
svietiť,1
lampa,1
klásť,1
okrem,1
lampe;,1
zažať,1
žltý,1
svetlo,1
hltať,1
riadok,1
presne,1
zblížiť,1
pripraviť,1
raňajky,1
džínsy,1
popíjať,1
pijevodu,1
ozaj,1
odvar,1
nezaťažovať,1
vychystaná,1
závan,1
čerstvosť,1
ovlažiť,1
zaháňať,1
prítomný,1
ihrať,1
vháňať,1
červeň,1
stiahnutý,1
námaha,1
ježiť,1
havran,1
perie,1
mesto,1
zaparkovať,1
počkať,1
uspávať,1
tapacírovanými,1
sedadlo,1
hučať,1
brieždenia,1
melodický,1
hladina,1
alfa,1
vedomie,1
nevedomie,1
prelínať,1
magický,1
detská,1
doposiaľ,1
nenahradiť,1
striktný,1
hojivý,1
účinok,1
snenia,1
prízemný,1
úvaha,1
meter,1
šesťdesiat,1
rúra,1
prekliesniť,1
hrádza,1
chodník,1
ahoj,1
dámo,1
privítať,1
rozšafný,1
gentleman,1
úklon,1
štyridsiatnik,1
vyziabnutej,1
vlk,1
pivný,1
zasnívaný,1
široko,1
rypnúť,1
potľapkať,1
zložiť,1
kričať,1
spoza,1
hrmotne,1
zbierať,1
nedopité,1
vyžitý,1
chlap,1
konflikt,1
bývalý,1
manželka,1
pätnásťročnou,1
dcéra,1
platilalimenty,1
radno,1
púšťať,1
lebo,1
číhať,1
udica,1
háčik,1
prilepené,1
eurové,1
bankovka,1
pohŕdať,1
prismelé,1
ambícia,1
plytký,1
cieľ,1
pažravý,1
kamarát,1
zaniesť,1
tamtá,1
vécko,1
účes,1
driemkajúc,1
nóbl,1
vyzerajúcich,1
pánov,1
oblek,1
nevšimnúť,1
desať,1
zamočenou,1
pena,1
hentam,1
vodka,1
vyšinutý,1
dačo,1
vykotúľať,1
utrieť,1
osušiť,1
romanovej,1
poznámka,1
muškát,1
pohyb,1
obskakovať,1
dcérka,1
zaostriť,1
tmavočervený,1
tridsaťpäťky,1
polodlhé,1
zastrčený,1
límcom,1
pripomínalväzňa,1
elegantne,1
švihácky,1
briadka,1
zvodca,1
hrdina,1
nevenovať,1
pozornosť,1
zrejme,1
vžitý,1
minulý,1
návšteva,1
podnik,1
vietnamkách,1
hlučne,1
chlad,1
laniných,1
postrehnúť,1
zaujať,1
vysvetliť,1
sŕňa,1
štíhly,1
okatý,1
živé,1
nepripomínať,1
autenticitu,1
emócia,1
dravosť,1
plachý,1
uvedomovať,1
jasne,1
prosba,1
smädný,1
napojiť,1
pútnik,1
trmácajúceho,1
štipka,1
pomoc,1
nehybne,1
skúmavo,1
prekvapene,1
