word,number_of_occurences
chyba,15
jedáleň,15
stena,14
prehliadnuť,14
zima,14
vyše,14
mnohý,14
horšie,14
gazdiná,14
príklad,14
chlieb,14
opakovať,14
naučiť,14
údolie,14
počínať,14
dym,14
netušiť,14
stretnúť,14
hŕba,14
dlh,14
mládenec,14
nazdať,14
vyriecť,14
trhať,14
cieliť,14
pôjsť,14
preletieť,14
narážka,14
úfať,14
plameň,14
smiať,14
rumenec,14
bozk,14
čln,14
načelnik,14
pohodiť,14
národný,14
vrch,14
tancovať,14
hostiť,14
ulica,14
nechať,14
prijímať,14
moji,14
dodať,14
nebodaj,14
široký,14
vojna,14
roko,14
návšteva,14
kmotor,14
kvapka,14
zodpovednosť,14
udivený,14
bobica,14
pohybovať,14
naplniť,14
nepríjemný,14
povaha,14
skrývať,14
rešpicient,14
viera,14
úzkosť,14
deva,14
žiaden,14
hrdý,14
otvárať,14
záležitosť,14
pozorovať,14
počkať,14
ej,14
doviesť,14
mienka,14
pochopiť,14
patriť,14
potreba,13
nachodiť,13
piť,13
ohromný,13
ľudský,13
pomer,13
kúpiť,13
základ,13
vychodiť,13
vtiahnuť,13
dlaň,13
inde,13
síce,13
jer,13
hviezda,13
spev,13
uprieť,13
predsavzatie,13
synko,13
skloniť,13
predstaviť,13
pád,13
zaspať,13
týždeň,13
šiator,13
zďaleka,13
taliansky,13
ples,13
záhada,13
krásny,13
chybovať,13
nielen,13
predtucha,13
iskra,13
oddanosť,13
predošlý,13
jasné,13
pozdraviť,13
odkedy,13
jasne,13
určite,13
horúci,13
naozaj,13
napríklad,13
pomedzi,13
šat,13
hnevať,13
zábava,13
nekonečný,13
dačo,13
stopovať,13
škoda,13
nepovedať,13
pevne,13
uznávať,13
sľubovať,13
mandina,13
trpezlivosť,13
galešu,13
ursa,13
ľúto,13
tretí,12
sud,12
povala,12
sedliak,12
grabovika,12
oliva,12
asi,12
more,12
čibuk,12
mladosť,12
omnoho,12
svieca,12
ostrov,12
domáci,12
onen,12
mozoľ,12
dozvedieť,12
prudko,12
tvrdý,12
tmoliť,12
spúšťať,12
žiariť,12
večera,12
východ,12
tvrdé,12
nežný,12
tmavý,12
vydýchnuť,12
rozdiel,12
húsť,12
naprávať,12
spolu,12
milosť,12
hmla,12
poriadny,12
nevšímať,12
odbaviť,12
odhodlanosť,12
zastať,12
stan,12
stískať,12
truhla,12
vypadnúť,12
baldo,12
dinko,12
sprievod,12
bezpečnosť,12
okrem,12
čiapočka,12
prímorský,12
prihovárať,12
zložiť,12
rozprávať,12
obracať,12
páčiť,12
za_on,12
nenájsť,12
presvedčenie,12
znak,12
naskočiť,12
zaplakať,12
hrnúť,12
palác,12
priblížiť,12
podajeden,12
pokrytý,12
zvon,12
hybaj,12
pritom,12
záhadný,12
spokojnosť,12
vytratiť,12
vonkoncom,12
uvažovať,12
antica,12
zandomemu,12
ó,12
eh,12
znášať,12
zavolať,12
nenazdať,12
rozhodnutie,12
bod,12
zakaždým,12
kúzlo,12
nezbadať,12
ľahký,12
vyhnúť,12
vysoká,12
anzuly,12
polievka,12
rozložiť,12
minulo,12
naveky,12
nadísť,12
pozorne,12
nediviť,12
navždy,12
kamarát,12
tichosť,12
politika,12
pripraviť,12
mech,11
stráň,11
zvlášte,11
ostatok,11
dievčina,11
sprevádzať,11
päta,11
nepokoj,11
ký,11
hanbiť,11
trápenie,11
krik,11
netreba,11
hrýzť,11
uhádnuť,11
zatíchnuť,11
zmätok,11
blúdiť,11
smutne,11
modrá,11
kruh,11
koľaj,11
probovať,11
podľahnúť,11
sluha,11
neslobodno,11
uraziť,11
útecha,11
vodiť,11
jasno,11
odpoveď,11
vyrozumieť,11
neujsť,11
nálada,11
zadržať,11
inakšie,11
vyžadovať,11
kupec,11
ovocie,11
hladiť,11
sv,11
zdravie,11
chlap,11
náhľad,11
vydržať,11
sto,11
zhrýzať,11
bolieť,11
nepozorovať,11
zapadnúť,11
surový,11
prízvuk,11
kŕdeľ,11
tôňa,11
lekár,11
pečlive,11
hosť,11
pestrý,11
nezabudnúť,11
zorković,11
nasledovať,11
prázdny,11
sláva,11
nerozumieť,11
zmysel,11
pustiť,11
tŕnie,11
sľúbiť,11
ukrutný,11
náruživosť,11
obdiv,11
zaujímať,11
považovať,11
uviesť,11
svieži,11
vyrovnať,11
temný,11
zvrtnúť,11
odobrať,11
tma,11
rozčúlený,11
tajný,11
preturuša,11
most,11
pozdrav,11
neporiadok,11
hruda,11
dovoliť,11
ľutovať,11
náhoda,11
studený,11
dôkladne,11
ústav,11
záštita,11
trpkosť,11
vyjasniť,11
uspokojiť,11
kuzma,11
telo,11
priateliť,11
hrob,11
hospodáru,11
zorkovićov,11
pacient,11
mužský,10
olej,10
pokryť,10
para,10
stavať,10
zlatý,10
reťaz,10
čeliadka,10
zakladať,10
rásť,10
blahobyt,10
slávnosť,10
premena,10
ozajstný,10
zamiešať,10
mrcha,10
pokaziť,10
zlý,10
karhať,10
hrešiť,10
hýbať,10
nerád,10
sirota,10
založiť,10
dalmatínsky,10
tiahnuť,10
ostrý,10
ameriky,10
písať,10
úroda,10
diaľ,10
hlad,10
nasilu,10
rozumný,10
náuka,10
úplne,10
prísne,10
urazený,10
spokojne,10
slepý,10
odľahnúť,10
prekvapený,10
vaši,10
vzdychať,10
mocne,10
dojatý,10
veselosť,10
zub,10
okriať,10
šatka,10
holý,10
skúmať,10
dalmácii,10
slávnostný,10
farba,10
vodca,10
ostatne,10
statočne,10
vážny,10
záhrada,10
opovržením,10
hlúpy,10
závisť,10
šípiť,10
bezpečný,10
opustený,10
mäkký,10
piesok,10
predávať,10
čiže,10
nepozostávať,10
závoj,10
dokonale,10
ružový,10
zbadať,10
dakto,10
skákať,10
kričať,10
púšť,10
lahodiť,10
príčina,10
smútok,10
vídať,10
spamätať,10
priateľka,10
vkus,10
vstať,10
zahriaknuť,10
nedorozumenie,10
planina,10
zahnať,10
nepáčiť,10
hladina,10
vysvetliť,10
túlať,10
bohatstvo,10
šľachetný,10
sľub,10
rozísť,10
šuhaj,10
nesmierny,10
ohnisko,10
iliju,10
ver,10
zbytočný,10
nerobiť,10
hrdina,10
vyhnať,10
posvätný,10
blaho,10
špiro,10
zvestovať,10
spadnúť,10
umelec,10
vystaviť,9
kamenie,9
obecný,9
dumať,9
chlapec,9
rozsiahly,9
kedysi,9
páliť,9
koža,9
známy,9
luk,9
odchovať,9
ivana,9
šija,9
počuť,9
nazdávať,9
zotaviť,9
vľúdne,9
žiaľ,9
cieľ,9
snažiť,9
zamyslieť,9
chládok,9
tratiť,9
tíšina,9
naokolo,9
pieseň,9
vzchopiť,9
badať,9
vzdychnúť,9
oprieť,9
vtom,9
úzadie,9
čerstvý,9
rozlievať,9
dodávať,9
ćaće,9
každodenný,9
cena,9
slabosť,9
pokojný,9
spravovať,9
nahliadnuť,9
jednostaj,9
budiť,9
dôraz,9
hrozba,9
výsmech,9
vytrženie,9
svornosť,9
rozvážiť,9
nebadať,9
žiara,9
fiera,9
chytro,9
rozliať,9
obzerať,9
prezerať,9
utiecť,9
tuhý,9
akože,9
zariadiť,9
politický,9
výkrik,9
vyhovárať,9
kadejaký,9
pritiahnuť,9
hriešny,9
zásterka,9
zabávať,9
hrdo,9
nestáť,9
kňaz,9
začervenať,9
prechodiť,9
prepadnúť,9
zdržať,9
mimovoľne,9
bdieť,9
zápäť,9
najradšej,9
nedeľa,9
drahý,9
zdvorilosť,9
stolica,9
šľahnúť,9
vlaha,9
niesť,9
usmievavý,9
veľkolepý,9
ustávať,9
rozliehať,9
vytýkať,9
spytovať,9
uveličený,9
vrtieť,9
fľak,9
ohnivý,9
utierať,9
kŕčovite,9
zaiskriť,9
kosť,9
načúvať,9
rameno,9
neostať,9
rozpomienka,9
težaci,9
nijako,9
zvuk,9
statkár,9
sadlo,9
obdivovať,9
roveň,9
niva,9
vážiť,9
žart,9
česť,9
napraviť,9
usedave,9
ochorieť,9
túžiť,9
jednaký,9
stávať,9
sklopiť,9
nespozorovať,9
kynúť,9
vznešený,9
stop,9
dôležitý,9
užiť,9
paluba,9
úskalie,9
dubčićov,9
opustiť,9
rumenko,9
hodne,9
lajster,9
kniha,9
ráčiť,9
hra,9
vyhľadávať,9
zúfalstvo,9
naliať,9
bezstarostný,9
daromný,9
zápas,9
úloha,9
bohvie,9
smer,9
víťazstvo,9
požehnanie,9
popoludnie,9
kási,9
mnohé,9
návrat,9
nikov,9
pašku,9
preš,9
posmech,9
se,9
galéria,9
pohodlne,8
dach,8
solídny,8
spomedzi,8
nenazdávať,8
blízko,8
socha,8
pozde,8
kapetana,8
oženiť,8
dôchodok,8
família,8
spočiatku,8
vybúšiť,8
slúchať,8
múdry,8
výstraha,8
matemu,8
pobadať,8
učiť,8
bežať,8
privyknúť,8
šedý,8
pochytiť,8
krovie,8
smelý,8
povďačný,8
nadol,8
pás,8
krov,8
ostro,8
iste,8
neslýchaný,8
strom,8
takrečeno,8
nepatrný,8
neúprosne,8
opovážiť,8
naúčať,8
pretrhnúť,8
dôvod,8
umienil,8
záhyb,8
prisvedčiť,8
odpočinúť,8
ochotne,8
doprosta,8
nehybne,8
zatriasť,8
predvídať,8
vďačne,8
gazdovstvo,8
netýkať,8
úľuba,8
hnutie,8
dolčín,8
znoj,8
podobný,8
obrovský,8
zrelý,8
dáma,8
vydaj,8
lesklý,8
nechodiť,8
ľaľa,8
zrkadlo,8
usilovať,8
program,8
frank,8
rovnať,8
pripravený,8
poprezerať,8
poznamenať,8
paráda,8
ukazovať,8
sebavedome,8
hej,8
cnosť,8
zasvietiť,8
hodný,8
šibnúť,8
rozvažovať,8
majetok,8
nútiť,8
krivda,8
dôvera,8
krotký,8
de,8
horúce,8
kabát,8
prach,8
slečna,8
zastaviť,8
vejár,8
húf,8
benátsky,8
kráľ,8
upadnúť,8
skupina,8
žltý,8
päsť,8
modlitba,8
obloha,8
urážka,8
vyprevadiť,8
pár,8
andre,8
rozjarený,8
sviatočný,8
zničený,8
poblednúť,8
otcovský,8
skutočnosť,8
urážať,8
vatra,8
zmiasť,8
jednako,8
rozvaha,8
štvorylka,8
rozkázať,8
zažať,8
odviesť,8
nepoznať,8
klať,8
odniesť,8
nedbať,8
do_on,8
zrnko,8
lampa,8
činnosť,8
vyrozprávať,8
ctiť,8
súdený,8
počiatok,8
katicou,8
clivo,8
stratený,8
pustý,8
rozohnať,8
osoba,8
predstavovať,8
vráska,8
otriasť,8
rozochvený,8
vytrvať,8
podávať,8
váhať,8
vrúcne,8
zachvieť,8
nebohý,8
