word,number_of_occurences
čitateľný,1
písať,1
autor,1
nezakladať,1
skutočnosť,1
osoba,1
meno,1
čítať,1
založený,1
postava,1
môj,1
oko,1
vzbudzovať,1
mystérium,1
majestátnosť,1
sila,1
neistota,1
činný,1
jav,1
raz,1
dávno,1
stredný,1
započul,1
aktivita,1
kontrolovaný,1
napísať,1
vihorlate,1
prales,1
samozrejme,1
vtiahnuť,1
presvedčiť,1
záhada,1
vzdávať,1
pocta,1
vďaka,1
dokázať,1
tajomný,1
stopa,1
pripustiť,1
svetlica,1
vznášajúce,1
impulzívny,1
žiarenie,1
vypátrať,1
rodinný,1
príslušník,1
zákaz,1
nevysvetliteľný,1
úkaz,1
poviedka,1
ponúkať,1
poukazovať,1
